worker_id,cluster,predicted_risk,confidence,priority,skill_focus,suitable_tasks,supervision,training_priority,career_path
W00001,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00002,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00003,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00004,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00005,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00006,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00007,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00008,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00009,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00010,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00011,0,High,0.8,HIGH ATTENTION,"Critical skill remediation, Certifications renewal","Lower-risk tasks initially, Building back to complex tasks",Regular - Weekly check-ins and reviews,"Immediate skill development, Safety protocols review, Risk management training","Pause advancement, Focus on skill recovery, Mentoring support"
W00012,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00013,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
